id,name,size,admis_num,admis_percent,cost_gen,cost_instate,cost_outstate,location,majors,ranking,testscores,avg_gpa,completion_percent,ctype,med_debt
,Rochester Institute of Technology,13513,12761.1,0.66,61518,-1,-1,"Rochester, NY","[""Accounting\nAdvertising\nAerospace, Aeronautical and Astronautical/Space Engineering\nAmerican Sign Language (ASL)\nAnimation, Interactive Technology, Video Graphics and Special Effects\nBiochemistry\nBioengineering and Biomedical Engineering\nBioinformatics\nBiological and Biomedical Sciences, Other\nBiology/Biological Sciences, General\nBiomedical Sciences, General\nBiotechnology\nBusiness Administration and Management, General\nBusiness/Commerce, General\nCeramic Arts and Ceramics\nChemical Engineering\nChemistry, General\nCinematography and Film/Video Production\nCivil Engineering Technology/Technician\nClinical Laboratory Science/Medical Technology/Technologist\nCommercial Photography\n Commercial and Advertising Art\nCommunication and Media Studies, Other\nComputational Mathematics\nComputer Engineering Technology/Technician\nComputer Engineering, General\nComputer Graphics\nComputer Science\nComputer Software Engineering\nComputer Systems Analysis/Analyst\nComputer Systems Networking and Telecommunications\nComputer and Information Sciences, General\nComputer and Information Systems Security/Information Assurance\nCrafts/Craft Design, Folk Art and Artisanry\nCriminal Justice/Law Enforcement Administration\nCriminal Justice/Safety Studies\nData Modeling/Warehousing and Database Administration\nDesign and Visual Communications, General\nDiagnostic Medical Sonography/Sonographer and Ultrasound Technician\nDigital Communication and Media/Multimedia\nEconomics, General\nElectrical and Electronic Engineering Technologies/Technicians, Other\nElectrical and Electronics Engineering\nElectromechanical Technology/Electromechanical Engineering Technology\nEngineering, General\nEngineering, Other\nEngineering-Related Technologies, Other\nEnvironmental Science\nFinance, General\nFine/Studio Arts, General\nFoodservice Systems Administration/Management\nGame and Interactive Media Design\nGraphic Communications, General\nGraphic Design\nHospitality Administration/Management, General\nHospitality and Recreation Marketing Operations"",""Hotel/Motel Administration/Management\nHuman Nutrition\nIllustration\n Industrial Engineering\nIndustrial and Product Design\nInformation Technology\nInterior Design\nIntermedia/Multimedia\nInternational Business/Trade/Commerce\nInternational Relations and Affairs\nJournalism\nManagement Information Systems, General\nManufacturing Engineering Technology/Technician\nMarketing/Marketing Management, General\nMathematics and Computer Science\nMathematics, General\nMechanical Engineering\nMedical Illustration/Medical Illustrator\nMetal and Jewelry Arts\nMulti-/Interdisciplinary Studies, General\nNatural Resources Management and Policy\nNetwork and System Administration/Administrator\nOccupational Safety and Health Technology/Technician\nPainting\nPhilosophy\nPhotographic and Film/Video Technology/Technician and Assistant\nPhotojournalism\nPhysical Sciences, Other\nPhysician Assistant\nPolitical Science and Government, General\nPre-Dentistry Studies\nPre-Law Studies\nPre-Medicine/Pre-Medical Studies\nPre-Veterinary Studies\nPrepress/Desktop Publishing and Digital Imaging Design\nPrinting Management\nPsychology, General\nPublic Policy Analysis, General\nPublic Relations, Advertising, and Applied Communication, Other\nPublic Relations/Image Management\nPublishing\nResort Management\nRestaurant/Food Services Management\nSculpture\nSign Language Interpretation and Translation\nSociology and Anthropology\n Special Products Marketing Operations\nSpeech Communication and Rhetoric\nStatistics, General\nSystem, Networking, and LAN/WAN Management/Manager\nSystems Engineering\nTelecommunications Technology/Technician\nTourism and Travel Services Marketing Operations\nWeb Page, Digital/Multimedia and Information Resources Design\nWeb/Multimedia Management and Webmaster\nWoodworking, General""]",155,"{""avg_gpa"":3.7,""sat_math"":{""avg"":-1,""lrange"":""610"",""rrange"":""720""},""sat_ebrw"":{""avg"":-1,""lrange"":""590"",""rrange"":""680""},""act_composite"":{""avg"":-1,""lrange"":""27"",""rrange"":""32""}}",,0.27,Private non-profit,41202
,Roger Williams University,4703,7802.299999999999,0.82,53324,-1,-1,"Bristol, RI","[""Accounting\nAmerican/United States Studies/Civilization\nApplied Mathematics, General\nArchitecture\nArt History, Criticism and Conservation\nArt/Art Studies, General\nBiochemistry\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nChemistry, General\nCivil Engineering, General\nCommunication and Media Studies, Other\nComputer Engineering, General\nComputer Science\nComputer and Information Sciences, General\nConstruction Management\nCorrections and Criminal Justice, Other\nCreative Writing\nCriminal Justice/Law Enforcement Administration\nCyber/Computer Forensics and Counterterrorism\nDance, General\nDrama and Dramatics/Theatre Arts, General\nEconomics, General\nEducation, General\nElectrical and Electronics Engineering\nElementary Education and Teaching\nEngineering, General\nEnglish Language and Literature, General\nEnglish/Language Arts Teacher Education\nEnvironmental Science\n Environmental/Environmental Health Engineering\nFinance, General\nFinancial Planning and Services\nFine/Studio Arts, General\nForeign Language Teacher Education"",""Foreign Languages and Literatures, General\nForensic Science and Technology\nGraphic Communications, General\nHealth/Health Care Administration/Management\nHispanic and Latin American Languages, Literatures, and Linguistics, General\nHistoric Preservation and Conservation\nHistory Teacher Education\nHistory, General\nHumanities/Humanistic Studies\nIndustrial Technology/Technician\nInternational Business/Trade/Commerce\nInternational Relations and Affairs\nInternational/Global Studies\nLegal Assistant/Paralegal\nLegal Professions and Studies, Other\nLiberal Arts and Sciences/Liberal Studies\nManagement Information Systems, General\nMarine Biology and Biological Oceanography\nMarketing/Marketing Management, General\nMathematics Teacher Education\nMathematics, General\nMechanical Engineering\nMental and Social Health Services and Allied Professions, Other\nMulti-/Interdisciplinary Studies, Other\nMusicology and Ethnomusicology\nOperations Management and Supervision\nPhilosophy\nPolitical Science and Government, General\nPsychology, General\nPublic Administration\nPublic Health, General\nSecondary Education and Teaching\nSocial Sciences, General\nSociology and Anthropology""]",401-500,"{""avg_gpa"":3.25,""sat_math"":{""avg"":-1,""lrange"":""540"",""rrange"":""630""},""sat_ebrw"":{""avg"":""593"",""lrange"":""550"",""rrange"":""630""},""act_composite"":{""avg"":""26"",""lrange"":""24"",""rrange"":""28""}}",,0.55,Private non-profit,44886
,SUNY College of Environmental Science and Forestry,1861,1230.98,0.61,-1,27635,37545,"Syracuse, NY","[""Aquatic Biology/Limnology\nBiochemistry\nBioengineering and Biomedical Engineering\nBiological and Biomedical Sciences, Other\nBiotechnology\nChemistry, General\nConservation Biology\n Construction Management\nEnvironmental Biology\nEnvironmental Health\nEnvironmental Science\nEnvironmental Studies\nEnvironmental/Environmental Health Engineering"",""Forest Management/Forest Resources Management\nForest Sciences and Biology\nForestry, General\nForestry, Other\nLandscape Architecture\nNatural Resources Management and Policy\nPaper Science and Engineering\nPre-Dentistry Studies\nPre-Law Studies\nPre-Medicine/Pre-Medical Studies\nPre-Veterinary Studies\nSustainability Studies\nWildlife Biology""]",299,"{""avg_gpa"":3.75,""sat_math"":{""avg"":-1,""lrange"":""560"",""rrange"":""650""},""sat_ebrw"":{""avg"":""617"",""lrange"":""560"",""rrange"":""660""},""act_composite"":{""avg"":""26"",""lrange"":""22"",""rrange"":""27""}}",,NaN,Public,26679
,Saint Louis University,7167,8769.599999999999,0.58,63068,-1,-1,"St. Louis, MO","[""Accounting\nAeronautics/Aviation/Aerospace Science and Technology, General\nAerospace, Aeronautical and Astronautical/Space Engineering\nAfrican-American/Black Studies\nAmerican/United States Studies/Civilization\nAnthropology\nArt History, Criticism and Conservation\nAtmospheric Sciences and Meteorology, General\nBiochemistry\nBioengineering and Biomedical Engineering\nBiology/Biological Sciences, General\nBiostatistics\nBusiness Administration and Management, General\nBusiness/Managerial Economics\nChemistry, General\nCivil Engineering, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nClinical Laboratory Science/Medical Technology/Technologist\nClinical/Medical Laboratory Science and Allied Professions, Other\nCommunication Sciences and Disorders, General\nCommunication, General\nCommunity Organization and Advocacy\nComputer Engineering, General\nComputer Science\nComputer and Information Sciences, General\nCriminal Justice/Safety Studies\nCrisis/Emergency/Disaster Management\nDietetics/Dietitian\nDrama and Dramatics/Theatre Arts, General\nEducation, General\nElectrical and Electronics Engineering\nEngineering Physics/Applied Physics\nEngineering, General\nEnglish Language and Literature, General\nEntrepreneurship/Entrepreneurial Studies\nEnvironmental Science\nEnvironmental Studies\nFinance, General\nFine/Studio Arts, General\nForensic Science and Technology\nFrench Language and Literature\nGeneral Studies"",""Geology/Earth Science, General\nGeophysics and Seismology\nGerman Language and Literature\nHealth Information/Medical Records Administration/Administrator\nHealth Services/Allied Health/Health Sciences, General\nHealth/Health Care Administration/Management\nHistory, General\nInternational Business/Trade/Commerce\nInternational Relations and Affairs\nItalian Language and Literature\nKinesiology and Exercise Science\nLatin American Studies\nMagnetic Resonance Imaging (MRI) Technology/Technician\nManagement Information Systems, General\nManagement Science\nMarketing/Marketing Management, General\nMathematics, General\nMechanical Engineering\nMedical Radiologic Technology/Science - Radiation Therapist\nMedieval and Renaissance Studies\nMusic, General\nNeuroscience\nNuclear Medical Technology/Technologist\nOccupational Therapy/Therapist\nOrganizational Behavior Studies\nOrganizational Leadership\nPhilosophy\nPhysics, General\nPolitical Science and Government, General\nProject Management\nPsychology, General\nPublic Health, General\nRegistered Nursing/Registered Nurse\nRussian Language and Literature\nSecurities Services Administration/Management\nSocial Work\nSociology\nSpanish Language and Literature\nSport and Fitness Administration/Management\nTheology/Theological Studies\nWomen's Studies""]",121,"{""avg_gpa"":3.9,""sat_math"":{""avg"":-1,""lrange"":""590"",""rrange"":""690""},""sat_ebrw"":{""avg"":""634"",""lrange"":""590"",""rrange"":""680""},""act_composite"":{""avg"":""28"",""lrange"":""25"",""rrange"":""31""}}",,0.7,Private non-profit,34413
,Salve Regina University,2021,3587.96,0.76,61260,-1,-1,"Newport, RI","[""Accounting\nAmerican/United States Studies/Civilization\nArt History, Criticism and Conservation\nBiochemistry and Molecular Biology\nBiology Teacher Education\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nChemistry, General\nClinical Laboratory Science/Medical Technology/Technologist\nCommunication and Media Studies, Other\nCriminal Justice/Law Enforcement Administration\nDrama and Dramatics/Theatre Arts, General\nEarly Childhood Education and Teaching\nEconomics, General\nElementary Education and Teaching\nEnglish Language and Literature, General\nEnglish/Language Arts Teacher Education\nEnvironmental Studies\nFinance, General\nFine/Studio Arts, General\nFrench Language Teacher Education\nFrench Language and Literature\nHealth/Health Care Administration/Management\nHistoric Preservation and Conservation"",""History Teacher Education\nHistory, General\nInternational Economics\n International/Global Studies\nLiberal Arts and Sciences/Liberal Studies\nManagement Science\nMarketing/Marketing Management, General\nMathematics Teacher Education\nMathematics, General\nMusic Teacher Education\nMusic, General\nOrganizational Leadership\nPhilosophy\nPolitical Science and Government, General\nPsychology, General\nRegistered Nursing/Registered Nurse\nReligion/Religious Studies\nSecondary Education and Teaching\nSocial Work\nSociology\nSpanish Language Teacher Education\nSpanish Language and Literature\nSpecial Education and Teaching, General""]",401-500,"{""avg_gpa"":3.41,""sat_math"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""sat_ebrw"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""act_composite"":{""avg"":-1,""lrange"":-1,""rrange"":-1}}",,0.67,Private non-profit,30692
,Samford University,3535,3184.8799999999997,0.82,49634,-1,-1,"Birmingham, AL","[""Accounting\nAncient/Classical Greek Language and Literature\nBiochemistry\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nBusiness/Managerial Economics\nChemistry, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nCommunication Sciences and Disorders, General\nComputer Science\nCultural Studies/Critical Theory and Analysis\nDrama and Dramatics/Theatre Arts, General\nEconomics, General\nEngineering Physics/Applied Physics\nEnglish Language and Literature, General\nEntrepreneurship/Entrepreneurial Studies\nEnvironmental Science\nFinance, General\nFine/Studio Arts, General\nFoods, Nutrition, and Wellness Studies, General\nFrench Language and Literature\nGeography\nGerman Language and Literature\nGraphic Design\nHealth Information/Medical Records Administration/Administrator\nHistory, General\nHuman Development and Family Studies, General\nInterior Design\nInternational Relations and Affairs\nInternational/Global Studies\nJournalism\nKeyboard Instruments\nLatin American Studies\nLatin Language and Literature"",""Legal Studies, General\nMarine Biology and Biological Oceanography\nMarketing/Marketing Management, General\nMathematics, General\nMissions/Missionary Studies and Missiology\nMusic Performance, General\nMusic Teacher Education\nMusic Theory and Composition\nMusic, General\nMusical Theatre\nOrganizational Leadership\nPharmaceutical Sciences\nPhilosophy\nPhilosophy and Religious Studies, General\nPhysics, General\nPolitical Science and Government, General\nPre-Medicine/Pre-Medical Studies\nPsychology, General\nPublic Administration\nPublic Health, General\nRegistered Nursing/Registered Nurse\nReligion/Religious Studies\nReligious/Sacred Music\nRespiratory Care Therapy/Therapist\nRomance Languages, Literatures, and Linguistics, General\nSecondary Education and Teaching\nSociology\nSpanish Language and Literature\nSpeech Communication and Rhetoric\nSport and Fitness Administration/Management\nTeacher Education, Multiple Levels\nVisual and Performing Arts, Other\nVoice and Opera\nYouth Services/Administration""]",170,"{""avg_gpa"":3.8,""sat_math"":{""avg"":-1,""lrange"":""520"",""rrange"":""620""},""sat_ebrw"":{""avg"":""598"",""lrange"":""552"",""rrange"":""650""},""act_composite"":{""avg"":""26"",""lrange"":""23"",""rrange"":""29""}}",,0.64,Private non-profit,32146
,San Diego State University,30393,23474.620000000003,0.34,-1,30522,42402,"San Diego, CA","[""Accounting\nAdvertising\nAerospace, Aeronautical and Astronautical/Space Engineering\nAfrican-American/Black Studies\nAmerican Indian/Native American Studies\nAnthropology\nApplied Mathematics, General\nArt History, Criticism and Conservation\n Art/Art Studies, General\nAsian Studies/Civilization\nAstronomy\nAthletic Training/Trainer\nAtomic/Molecular Physics\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nChemistry, General\nCivil Engineering, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nCommunication Sciences and Disorders, General\nComparative Literature\nComputer Engineering, General\nComputer Science\nConstruction Engineering Technology/Technician\nCriminal Justice/Safety Studies\nDance, General\nDigital Communication and Media/Multimedia\nDrama and Dramatics/Theatre Arts, General\nEarly Childhood Education and Teaching\nEcology\nEconomics, General\nElectrical and Electronics Engineering\nEngineering, General\nEnglish Language and Literature, General\nEnvironmental Science\nEnvironmental Studies\nEnvironmental/Environmental Health Engineering\nEthnic, Cultural Minority, Gender, and Group Studies, Other\nEuropean Studies/Civilization\nFinance, General\nFinancial Planning and Services\nFine/Studio Arts, General\nFrench Language and Literature\nGeneral Studies\nGeography\nGeology/Earth Science, General\nGerman Language and Literature\nGerontology\nGraphic Design\nHealth Communication\nHealth and Physical Education/Fitness, General\nHispanic-American, Puerto Rican, and Mexican-American/Chicano Studies\n History, General"",""Hospitality Administration/Management, General\nHuman Resources Management/Personnel Administration, General\nHumanities/Humanistic Studies\nInformation Technology\nInterior Design\nInternational Business/Trade/Commerce\nInternational Relations and Affairs\nInternational Relations and National Security Studies, Other\nJapanese Language and Literature\nJewish/Judaic Studies\nJournalism\nKinesiology and Exercise Science\nLatin American Studies\nLiberal Arts and Sciences/Liberal Studies\nLinguistics\nMarketing/Marketing Management, General\nMathematics, General\nMechanical Engineering\nMicrobiology, General\nMulti-/Interdisciplinary Studies, Other\nMusic Performance, General\nMusic Teacher Education\nMusic, General\nNutrition Sciences\nOperations Management and Supervision\nParks, Recreation and Leisure Studies\nPhilosophy\nPhysical Sciences\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\nPublic Administration\nPublic Administration and Social Service Professions, Other\nPublic Health, General\nPublic Relations/Image Management\nRadio and Television\nReal Estate\nRegistered Nursing/Registered Nurse\nReligion/Religious Studies\nRussian Language and Literature\n Russian, Central European, East European and Eurasian Studies\nSocial Sciences, General\nSocial Work\nSociology\nSpanish Language and Literature\nSpeech Communication and Rhetoric\nSpeech-Language Pathology/Pathologist\nStatistics, General\nUrban Studies/Affairs\nWomen's Studies\nWriting, General\nZoology/Animal Biology""]",270,"{""avg_gpa"":3.73,""sat_math"":{""avg"":-1,""lrange"":""550"",""rrange"":""660""},""sat_ebrw"":{""avg"":""602"",""lrange"":""560"",""rrange"":""650""},""act_composite"":{""avg"":""25"",""lrange"":""22"",""rrange"":""28""}}",,0.37,Public,21327
,School of the Art Institute of Chicago,2849,3093.96,0.59,71090,-1,-1,"Chicago, IL","[""Animation, Interactive Technology, Video Graphics and Special Effects\nArchitecture and Related Services, Other\nArt History, Criticism and Conservation\nArt Teacher Education\nArt/Art Studies, General\nCeramic Arts and Ceramics\nCinematography and Film/Video Production\nComputer Graphics\nCreative Writing\nDesign and Applied Arts, Other\nDesign and Visual Communications, General\nDigital Communication and Media/Multimedia\nDrawing\nFashion/Apparel Design\nFiber, Textile and Weaving Arts\nFilm/Cinema/Video Studies\nFilm/Video and Photographic Arts, Other"",""Fine Arts and Art Studies, Other\nFine/Studio Arts, General\nGraphic Communications, General\nGraphic Design\nIllustration\nInterior Architecture\nIntermedia/Multimedia\nMetal and Jewelry Arts\nMusic, Other\n Painting\nPhotography\nPrintmaking\nSculpture\nVisual and Performing Arts, General\nVisual and Performing Arts, Other\nWeb Page, Digital/Multimedia and Information Resources Design""]",351,"{""avg_gpa"":3.51,""sat_math"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""sat_ebrw"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""act_composite"":{""avg"":-1,""lrange"":""22"",""rrange"":""27""}}",,0.41,Private non-profit,NaN
,Siena College,3174,5948.280000000001,0.78,57410,-1,-1,"Loudonville, NY","[""Actuarial Science\nAmerican/United States Studies/Civilization\nBiochemistry\nBiological and Biomedical Sciences, Other\nBiology/Biological Sciences, General\nBusiness Administration, Management and Operations, Other\nBusiness/Commerce, General\nChemistry, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nComputational Mathematics\nComputational Science\nComputer and Information Sciences, General\nEcology\nEconomics, General\nEnglish Language and Literature, General\nEnvironmental Science\nEnvironmental Studies"",""Finance, General\nFrench Language and Literature\nHistory, General\nManagement Science\nMarketing/Marketing Management, General\nMathematics and Statistics, Other\nMathematics, General\nMulti-/Interdisciplinary Studies, General\nNursing Science\nPhilosophy\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\n Religion/Religious Studies\nSocial Work\nSociology\nSpanish Language and Literature""]",295,"{""avg_gpa"":3.5,""sat_math"":{""avg"":-1,""lrange"":""530"",""rrange"":""630""},""sat_ebrw"":{""avg"":""529"",""lrange"":""530"",""rrange"":""620""},""act_composite"":{""avg"":""25"",""lrange"":""22"",""rrange"":""27""}}",,0.73,Private non-profit,35509
,Smith College,2521,1738.24,0.32,75229,-1,-1,"Northampton, MA","[""African-American/Black Studies\nAmerican/United States Studies/Civilization\nAncient/Classical Greek Language and Literature\nAnthropology\nArchitecture\nArt History, Criticism and Conservation\nArt/Art Studies, General\nAstronomy\nBiochemistry\nBiology/Biological Sciences, General\nChemistry, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nComparative Literature\nComputer Science\nDance, General\nDrama and Dramatics/Theatre Arts, General\nEast Asian Languages, Literatures, and Linguistics, General\nEast Asian Studies\nEconomics, General\nEducation, General\nEngineering Science\nEnglish Language and Literature, General\nEnvironmental Studies\nFilm/Cinema/Video Studies\nFine/Studio Arts, General\nFrench Language and Literature\nFrench Studies"",""Geology/Earth Science, General\nGerman Language and Literature\nGerman Studies\nHistory, General\nItalian Language and Literature\nLatin American Studies\nLatin Language and Literature\nMathematics, General\nMedieval and Renaissance Studies\nMulti-/Interdisciplinary Studies, General\nMusic, General\nNear and Middle Eastern Studies\nNeuroscience\nPhilosophy\nPhysics, General\nPolitical Science and Government, General\nPortuguese Language and Literature\nPre-Law Studies\nPre-Medicine/Pre-Medical Studies\nPsychology, General\nReligion/Religious Studies\nRussian Language and Literature\nRussian Studies\nSociology\nSpanish Language and Literature\nWomen's Studies""]",41,"{""avg_gpa"":3.84,""sat_math"":{""avg"":-1,""lrange"":""640"",""rrange"":""750""},""sat_ebrw"":{""avg"":-1,""lrange"":""650"",""rrange"":""740""},""act_composite"":{""avg"":-1,""lrange"":""30"",""rrange"":""33""}}",,0.82,Private non-profit,22083
,St Bonaventure University,1627,2120.06,0.71,50791,-1,-1,"St. Bonaventure, NY","[""Accounting\nBiochemistry\nBioinformatics\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nChemistry, General\nChild Development\nComputer Science\nComputer and Information Sciences and Support Services, Other\nCreative Writing\nDigital Communication and Media/Multimedia\nDrama and Dramatics/Theatre Arts, General\nElementary Education and Teaching\nEnglish Language and Literature, General\nEnvironmental Studies\nFinance, General\nHistory, General"",""International/Global Studies\nJournalism\nMarketing/Marketing Management, General\nMathematics, General\nMusic History, Literature, and Theory\nPhilosophy\nPhysical Education Teaching and Coaching\nPolitical Science and Government, General\nPsychology, General\nSociology\nSpanish Language and Literature\nSpecial Education and Teaching, General\nSport and Fitness Administration/Management\nTheology/Theological Studies\nVisual and Performing Arts, General\nWomen's Studies""]",401-500,"{""avg_gpa"":3.39,""sat_math"":{""avg"":-1,""lrange"":""510"",""rrange"":""610""},""sat_ebrw"":{""avg"":-1,""lrange"":""510"",""rrange"":""610""},""act_composite"":{""avg"":""24"",""lrange"":""21"",""rrange"":""27""}}",,0.59,Private non-profit,36146
,Stevenson University,3397,3375.13,0.61,55266,-1,-1,"Stevenson, MD","[""Accounting\nActing\nBiochemistry\nBiology/Biological Sciences, General\nBiotechnology\nBusiness Administration and Management, General\nBusiness/Corporate Communications\nChemistry, General\nCinematography and Film/Video Production\nClinical Laboratory Science/Medical Technology/Technologist\nComputer Systems Networking and Telecommunications\nComputer and Information Sciences, General\nCriminal Justice/Law Enforcement Administration\nDesign and Visual Communications, General\nDigital Communication and Media/Multimedia\nDrama and Dramatics/Theatre Arts, General\nEarly Childhood Education and Teaching"",""Elementary Education and Teaching\nEnglish Language and Literature, General\nEnvironmental Science\nFamily and Community Services\nFashion Merchandising\nFashion/Apparel Design\nFilm/Cinema/Video Studies\nHistory, General\nInformation Science/Studies\nJunior High/Intermediate/Middle School Education and Teaching\nLegal Assistant/Paralegal\n Legal Studies, General\nManagement Information Systems, General\nMarketing, Other\nMulti-/Interdisciplinary Studies, General\nPsychology, General\nRegistered Nursing/Registered Nurse""]",401-500,"{""avg_gpa"":3.1,""sat_math"":{""avg"":-1,""lrange"":""510"",""rrange"":""600""},""sat_ebrw"":{""avg"":""549"",""lrange"":""500"",""rrange"":""590""},""act_composite"":{""avg"":""22"",""lrange"":""19"",""rrange"":""24""}}",,0.4,Private non-profit,36925
,Stony Brook University,17364,14831.46,0.42,-1,27221,44891,"Stony Brook, NY","[""African-American/Black Studies\nAmerican/United States Studies/Civilization\nAnthropology\nApplied Mathematics, General\nArt History, Criticism and Conservation\nArt/Art Studies, General\nAsian Studies/Civilization\nAstronomy\nAthletic Training/Trainer\nAtmospheric Sciences and Meteorology, General\nBiochemistry\nBioengineering and Biomedical Engineering\nBiological and Physical Sciences\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nChemical and Biomolecular Engineering\nChemistry, General\nChemistry, Other\nCivil Engineering, General\nClinical Laboratory Science/Medical Technology/Technologist\nComparative Literature\nComputer and Information Sciences, General\nDrama and Dramatics/Theatre Arts, General\nEcology\nEconomics, General\nElectrical and Electronics Engineering\nEngineering, General\nEnglish Language and Literature, General\nEnvironmental Design/Architecture\nEnvironmental Studies\nEuropean Studies/Civilization"",""French Language and Literature\nGeology/Earth Science, General\nGerman Language and Literature\nHealth Services/Allied Health/Health Sciences, General\nHistory, General\nHuman Computer Interaction\nInformation Science/Studies\nItalian Language and Literature\nJournalism\nLinguistics\nMarine Biology and Biological Oceanography\nMathematics, General\nMechanical Engineering\nMulti-/Interdisciplinary Studies, Other\nMusic, General\nPharmacology\nPhilosophy\nPhysical Sciences, Other\nPhysics, General\nPolitical Science and Government, General\nPolysomnography\nPsychology, General\nRegistered Nursing/Registered Nurse\nReligion/Religious Studies\nRespiratory Care Therapy/Therapist\nSocial Work\nSociology\nSpanish Language and Literature\nSustainability Studies\nWomen's Studies""]",105,"{""avg_gpa"":3.83,""sat_math"":{""avg"":-1,""lrange"":""620"",""rrange"":""730""},""sat_ebrw"":{""avg"":""671"",""lrange"":""590"",""rrange"":""680""},""act_composite"":{""avg"":""28"",""lrange"":""26"",""rrange"":""31""}}",,0.52,Public,28780
,Suffolk University,5117,6836.71,0.83,62149,-1,-1,"Boston, MA","[""Accounting\nAdvertising\nArt History, Criticism and Conservation\nAsian Studies/Civilization\nBiochemistry\nBiology/Biological Sciences, General\nBroadcast Journalism\nBusiness Administration and Management, General\nBusiness/Managerial Economics\nChemistry, General\nComputer Engineering, General\nComputer Science\nComputer and Information Sciences, General\nCriminology\nDrama and Dramatics/Theatre Arts, General\nEconomics, General\nEnglish Language and Literature, General\nEntrepreneurship/Entrepreneurial Studies\nEnvironmental Science\nEnvironmental Studies\nEnvironmental/Environmental Health Engineering\nFinance, General\nFine/Studio Arts, General\nForeign Languages and Literatures, General\nGraphic Design\nHistory, General"",""Information Science/Studies\nInterior Design\nInternational Business/Trade/Commerce\nInternational and Intercultural Communication\nJournalism\nLegal Assistant/Paralegal\n Marketing/Marketing Management, General\nMass Communication/Media Studies\nMathematics, General\nMental Health Counseling/Counselor\nOrganizational Communication, General\nPhilosophy\nPhysical Sciences\nPhysics, General\nPolitical Communication\nPolitical Science and Government, General\nPsychology, General\nPublic Policy Analysis, General\nPublic Relations/Image Management\nRadiation Biology/Radiobiology\nRadio and Television\nRadio and Television Broadcasting Technology/Technician\nSociology\nSpanish Language and Literature\nSpeech Communication and Rhetoric\nVisual and Performing Arts, General""]",291,"{""avg_gpa"":3.24,""sat_math"":{""avg"":-1,""lrange"":""500"",""rrange"":""580""},""sat_ebrw"":{""avg"":""546"",""lrange"":""500"",""rrange"":""600""},""act_composite"":{""avg"":""24"",""lrange"":""21"",""rrange"":""26""}}",,0.45,Private non-profit,25639
