userid,college,status
40_NC_120,Illinois College,accepted
40_NC_120,Stevenson University,accepted
40_NC_120,"University of Nevada, Las Vegas",pending
40_NC_120,Central Connecticut State University,accepted
40_NC_120,Williams College,denied
40_NC_121,Texas Christian University,accepted
40_NC_121,University of Central Florida,accepted
40_NC_121,Indiana University Bloomington,accepted
40_NC_121,Kalamazoo College,accepted
40_NC_121,Saint Louis University,accepted
40_NC_121,Illinois College,pending
40_NC_121,Stevenson University,accepted
40_NC_121,"University of Nevada, Las Vegas",accepted
40_NC_121,Central Connecticut State University,accepted
40_NC_121,Williams College,denied
40_NC_122,Texas Christian University,accepted
40_NC_122,University of Central Florida,accepted
40_NC_122,Indiana University Bloomington,pending
40_NC_122,Kalamazoo College,pending
40_NC_122,Missouri University of Science and Technology,pending
40_NC_122,Stevenson University,accepted
40_NC_122,"University of Nevada, Las Vegas",accepted
40_NC_122,Vassar College,denied
40_NC_122,Central Connecticut State University,accepted
40_NC_122,Williams College,denied
40_NC_123,University of Central Florida,accepted
40_NC_123,Indiana University Bloomington,accepted
40_NC_123,Texas Christian University,accepted
40_NC_123,Kalamazoo College,accepted
40_NC_123,Saint Louis University,accepted
40_NC_123,Illinois College,pending
40_NC_123,Stevenson University,accepted
40_NC_123,"University of Nevada, Las Vegas",accepted
40_NC_123,Central Connecticut State University,accepted
40_NC_123,Williams College,denied
40_NC_124,Texas Christian University,accepted
40_NC_124,University of Central Florida,accepted
40_NC_124,Indiana University Bloomington,accepted
40_NC_124,Kalamazoo College,accepted
40_NC_124,Temple University,accepted
40_NC_124,Vassar College,denied
40_NC_124,Stevenson University,accepted
40_NC_124,"University of Nevada, Las Vegas",accepted
40_NC_124,Central Connecticut State University,accepted
40_NC_124,Williams College,denied
40_NC_125,Kalamazoo College,accepted
40_NC_125,University of Central Florida,pending
40_NC_125,Indiana University Bloomington,accepted
40_NC_125,Texas Christian University,pending
40_NC_125,Saint Louis University,accepted
40_NC_125,Illinois College,accepted
40_NC_125,Stevenson University,accepted
40_NC_125,Williams College,denied
40_NC_125,"University of Nevada, Las Vegas",accepted
40_NC_125,Central Connecticut State University,accepted
40_NC_126,University of Central Florida,accepted
40_NC_126,Indiana University Bloomington,accepted
40_NC_126,Texas Christian University,accepted
40_NC_126,Kalamazoo College,accepted
40_NC_126,Saint Louis University,accepted
40_NC_126,Illinois College,accepted
40_NC_126,Stevenson University,accepted
40_NC_126,"University of Nevada, Las Vegas",accepted
40_NC_126,Central Connecticut State University,accepted
40_NC_126,Williams College,pending
40_NC_127,Texas Christian University,accepted
40_NC_127,University of Central Florida,pending
40_NC_127,Indiana University Bloomington,accepted
40_NC_127,Kalamazoo College,accepted
40_NC_127,Saint Louis University,accepted
40_NC_127,Illinois College,accepted
40_NC_127,Stevenson University,accepted
40_NC_127,"University of Nevada, Las Vegas",accepted
40_NC_127,Central Connecticut State University,accepted
40_NC_127,Williams College,denied
40_NC_128,Texas Christian University,accepted
40_NC_128,University of Central Florida,accepted
40_NC_128,Indiana University Bloomington,accepted
40_NC_128,Kalamazoo College,accepted
40_NC_128,Temple University,accepted
40_NC_128,Vassar College,denied
40_NC_128,Stevenson University,accepted
40_NC_128,"University of Nevada, Las Vegas",accepted
40_NC_128,Central Connecticut State University,pending
40_NC_128,Williams College,denied
40_NC_129,Texas Christian University,accepted
40_NC_129,University of Central Florida,accepted
40_NC_129,Indiana University Bloomington,accepted
40_NC_129,Kalamazoo College,accepted
40_NC_129,Temple University,accepted
40_NC_129,Vassar College,denied
40_NC_129,Stevenson University,accepted
40_NC_129,"University of Nevada, Las Vegas",pending
40_NC_129,Central Connecticut State University,accepted
40_NC_129,Williams College,denied
40_NC_130,Texas Christian University,accepted
40_NC_130,University of Central Florida,accepted
40_NC_130,Indiana University Bloomington,accepted
40_NC_130,Kalamazoo College,accepted
40_NC_130,Temple University,accepted
40_NC_130,Vassar College,denied
40_NC_130,Stevenson University,accepted
40_NC_130,"University of Nevada, Las Vegas",accepted
40_NC_130,Central Connecticut State University,accepted
40_NC_130,Williams College,denied
40_NC_131,Texas Christian University,accepted
40_NC_131,University of Central Florida,accepted
40_NC_131,Indiana University Bloomington,accepted
40_NC_131,Kalamazoo College,accepted
40_NC_131,Saint Louis University,accepted
40_NC_131,Illinois College,accepted
40_NC_131,Stevenson University,accepted
40_NC_131,"University of Nevada, Las Vegas",accepted
40_NC_131,Central Connecticut State University,accepted
40_NC_131,Williams College,denied
40_NC_132,Texas Christian University,accepted
40_NC_132,University of Central Florida,accepted
40_NC_132,Indiana University Bloomington,accepted
40_NC_132,Kalamazoo College,accepted
40_NC_132,Temple University,pending
40_NC_132,Vassar College,denied
40_NC_132,Stevenson University,accepted
40_NC_132,"University of Nevada, Las Vegas",pending
40_NC_132,Central Connecticut State University,accepted
40_NC_132,Williams College,denied
40_NC_133,Texas Christian University,accepted
40_NC_133,Centre College,accepted
40_NC_133,University of Central Florida,pending
40_NC_133,Indiana University Bloomington,pending
40_NC_133,American University,accepted
40_NC_133,Iona College,accepted
40_NC_133,Illinois College,accepted
40_NC_133,Carnegie Mellon University,denied
40_NC_133,Stevenson University,accepted
40_NC_133,Princeton University,denied
40_NC_134,University of Central Florida,accepted
40_NC_134,Indiana University Bloomington,accepted
40_NC_134,Texas Christian University,accepted
40_NC_134,Kalamazoo College,accepted
40_NC_134,Saint Louis University,accepted
40_NC_134,Illinois College,accepted
40_NC_134,Stevenson University,accepted
40_NC_134,"University of Nevada, Las Vegas",accepted
40_NC_134,Central Connecticut State University,accepted
40_NC_134,Williams College,denied
40_NC_135,University of Delaware,accepted
40_NC_135,Transylvania University,accepted
40_NC_135,Drake University,accepted
40_NC_135,Temple University,accepted
40_NC_135,Mercer University,accepted
40_NC_135,"University of Nevada, Las Vegas",accepted
40_NC_135,Central Connecticut State University,accepted
40_NC_135,Colgate University,denied
40_NC_135,Vassar College,denied
40_NC_135,"California State University, Monterey Bay",accepted
40_NC_136,Texas Christian University,accepted
40_NC_136,Centre College,accepted
40_NC_136,University of Central Florida,accepted
40_NC_136,Indiana University Bloomington,accepted
40_NC_136,American University,accepted
40_NC_136,Illinois College,pending
40_NC_136,Williams College,denied
40_NC_136,Stevenson University,accepted
40_NC_136,"University of Nevada, Las Vegas",accepted
40_NC_136,Carnegie Mellon University,denied
40_NC_137,Texas Christian University,accepted
40_NC_137,University of Central Florida,accepted
40_NC_137,Indiana University Bloomington,accepted
40_NC_137,Kalamazoo College,accepted
40_NC_137,Temple University,accepted
40_NC_137,Vassar College,denied
40_NC_137,Stevenson University,accepted
40_NC_137,"University of Nevada, Las Vegas",pending
40_NC_137,Central Connecticut State University,accepted
40_NC_137,Williams College,denied
40_NC_138,Texas Christian University,accepted
40_NC_138,University of Central Florida,accepted
40_NC_138,Indiana University Bloomington,accepted
40_NC_138,Kalamazoo College,accepted
40_NC_138,Temple University,pending
40_NC_138,Vassar College,denied
40_NC_138,Stevenson University,accepted
40_NC_138,"University of Nevada, Las Vegas",pending
40_NC_138,Central Connecticut State University,accepted
40_NC_138,Williams College,denied
40_NC_139,Kalamazoo College,accepted
40_NC_139,University of Central Florida,accepted
40_NC_139,Indiana University Bloomington,accepted
40_NC_139,Texas Christian University,accepted
40_NC_139,Saint Louis University,accepted
40_NC_139,Illinois College,accepted
40_NC_139,Stevenson University,accepted
40_NC_139,Williams College,denied
40_NC_139,"University of Nevada, Las Vegas",accepted
40_NC_139,Central Connecticut State University,accepted
40_NC_140,Texas Christian University,accepted
40_NC_140,University of Central Florida,accepted
40_NC_140,Indiana University Bloomington,accepted
40_NC_140,Kalamazoo College,accepted
40_NC_140,Saint Louis University,accepted
40_NC_140,Illinois College,accepted
40_NC_140,Stevenson University,accepted
40_NC_140,"University of Nevada, Las Vegas",accepted
40_NC_140,Central Connecticut State University,accepted
40_NC_140,Williams College,pending
40_NC_141,Texas Christian University,accepted
40_NC_141,University of Central Florida,pending
40_NC_141,Indiana University Bloomington,accepted
40_NC_141,Kalamazoo College,accepted
40_NC_141,Saint Louis University,accepted
40_NC_141,Illinois College,accepted
40_NC_141,Stevenson University,accepted
40_NC_141,"University of Nevada, Las Vegas",accepted
40_NC_141,Central Connecticut State University,accepted
40_NC_141,Williams College,pending
40_NC_142,Drexel University,accepted
40_NC_142,Clarkson University,accepted
40_NC_142,Mercer University,accepted
40_NC_142,The College of Wooster,accepted
40_NC_142,Drake University,accepted
40_NC_142,Stevenson University,accepted
40_NC_142,"University of Nevada, Las Vegas",accepted
40_NC_142,Vassar College,denied
40_NC_142,Central Connecticut State University,pending
40_NC_142,Williams College,denied
40_NC_143,University of Delaware,accepted
40_NC_143,Transylvania University,accepted
40_NC_143,Drake University,accepted
40_NC_143,Temple University,accepted
40_NC_143,Mercer University,accepted
40_NC_143,"University of Nevada, Las Vegas",accepted
40_NC_143,Central Connecticut State University,accepted
40_NC_143,Colgate University,denied
40_NC_143,Vassar College,denied
40_NC_143,"California State University, Monterey Bay",accepted
40_NC_144,Kalamazoo College,accepted
40_NC_144,University of Central Florida,accepted
40_NC_144,Indiana University Bloomington,accepted
40_NC_144,Texas Christian University,accepted
40_NC_144,Saint Louis University,accepted
40_NC_144,Illinois College,accepted
40_NC_144,Stevenson University,accepted
40_NC_144,Williams College,denied
40_NC_144,"University of Nevada, Las Vegas",accepted
40_NC_144,Central Connecticut State University,accepted
40_NC_145,Texas Christian University,accepted
40_NC_145,University of Central Florida,accepted
40_NC_145,Indiana University Bloomington,accepted
40_NC_145,Kalamazoo College,accepted
40_NC_145,Missouri University of Science and Technology,accepted
40_NC_145,Stevenson University,accepted
40_NC_145,"University of Nevada, Las Vegas",accepted
40_NC_145,Vassar College,denied
40_NC_145,Central Connecticut State University,accepted
40_NC_145,Williams College,denied
40_NC_146,Texas Christian University,accepted
40_NC_146,University of Central Florida,accepted
40_NC_146,Indiana University Bloomington,accepted
40_NC_146,Kalamazoo College,accepted
40_NC_146,Saint Louis University,accepted
40_NC_146,Illinois College,accepted
40_NC_146,Stevenson University,accepted
40_NC_146,"University of Nevada, Las Vegas",accepted
40_NC_146,Central Connecticut State University,accepted
40_NC_146,Williams College,denied
40_NC_147,Texas Christian University,accepted
40_NC_147,University of Central Florida,accepted
40_NC_147,Indiana University Bloomington,accepted
40_NC_147,Kalamazoo College,accepted
40_NC_147,Saint Louis University,accepted
40_NC_147,Illinois College,accepted
40_NC_147,Stevenson University,accepted
40_NC_147,"University of Nevada, Las Vegas",accepted
40_NC_147,Central Connecticut State University,accepted
40_NC_147,Williams College,pending
40_NC_148,University of Central Florida,accepted
40_NC_148,Indiana University Bloomington,accepted
40_NC_148,Texas Christian University,pending
40_NC_148,Kalamazoo College,pending
40_NC_148,Saint Louis University,accepted
40_NC_148,Illinois College,accepted
40_NC_148,Stevenson University,accepted
40_NC_148,"University of Nevada, Las Vegas",accepted
40_NC_148,Central Connecticut State University,accepted
40_NC_148,Williams College,denied
40_NC_149,Texas Christian University,accepted
40_NC_149,University of Central Florida,accepted
40_NC_149,Indiana University Bloomington,accepted
40_NC_149,Kalamazoo College,accepted
40_NC_149,Saint Louis University,pending
40_NC_149,Illinois College,accepted
40_NC_149,Stevenson University,accepted
40_NC_149,"University of Nevada, Las Vegas",accepted
40_NC_149,Central Connecticut State University,accepted
40_NC_149,Williams College,denied
40_NC_150,Kalamazoo College,pending
40_NC_150,University of Central Florida,accepted
40_NC_150,Indiana University Bloomington,accepted
40_NC_150,Texas Christian University,accepted
40_NC_150,Saint Louis University,pending
40_NC_150,Illinois College,accepted
40_NC_150,Stevenson University,pending
40_NC_150,Williams College,denied
40_NC_150,"University of Nevada, Las Vegas",accepted
40_NC_150,Central Connecticut State University,accepted
40_NC_151,Texas Christian University,accepted
40_NC_151,University of Central Florida,accepted
40_NC_151,Indiana University Bloomington,accepted
40_NC_151,Kalamazoo College,pending
40_NC_151,Saint Louis University,accepted
40_NC_151,Illinois College,accepted
40_NC_151,Stevenson University,accepted
40_NC_151,"University of Nevada, Las Vegas",accepted
40_NC_151,Central Connecticut State University,pending
40_NC_151,Williams College,denied
40_NC_152,Kalamazoo College,accepted
40_NC_152,University of Central Florida,pending
40_NC_152,Indiana University Bloomington,accepted
40_NC_152,Texas Christian University,accepted
40_NC_152,Saint Louis University,pending
40_NC_152,Illinois College,accepted
40_NC_152,Stevenson University,accepted
40_NC_152,Williams College,denied
40_NC_152,"University of Nevada, Las Vegas",accepted
40_NC_152,Central Connecticut State University,accepted
40_NC_153,Texas Christian University,accepted
40_NC_153,University of Central Florida,accepted
40_NC_153,Indiana University Bloomington,accepted
40_NC_153,Kalamazoo College,accepted
40_NC_153,Saint Louis University,accepted
40_NC_153,Illinois College,accepted
40_NC_153,Stevenson University,accepted
40_NC_153,"University of Nevada, Las Vegas",accepted
40_NC_153,Central Connecticut State University,accepted
40_NC_153,Williams College,denied
40_NC_154,Texas Christian University,accepted
40_NC_154,University of Central Florida,pending
40_NC_154,Indiana University Bloomington,accepted
40_NC_154,Kalamazoo College,accepted
40_NC_154,Saint Louis University,accepted
40_NC_154,Illinois College,accepted
40_NC_154,Stevenson University,accepted
40_NC_154,"University of Nevada, Las Vegas",accepted
40_NC_154,Central Connecticut State University,accepted
40_NC_154,Williams College,denied
40_NC_155,Drexel University,accepted
40_NC_155,Clarkson University,pending
40_NC_155,Mercer University,accepted
40_NC_155,The College of Wooster,accepted
40_NC_155,Drake University,pending
40_NC_155,Stevenson University,pending
40_NC_155,"University of Nevada, Las Vegas",accepted
40_NC_155,Vassar College,denied
40_NC_155,Central Connecticut State University,pending
40_NC_155,Williams College,denied
40_NC_156,Centre College,accepted
40_NC_156,University of Central Florida,accepted
40_NC_156,Indiana University Bloomington,accepted
40_NC_156,American University,accepted
40_NC_156,Texas Christian University,accepted
40_NC_156,Carnegie Mellon University,denied
40_NC_156,Iona College,accepted
40_NC_156,Illinois College,accepted
40_NC_156,Princeton University,denied
40_NC_156,Stevenson University,accepted
40_NC_157,Texas Christian University,accepted
40_NC_157,University of Central Florida,accepted
40_NC_157,Indiana University Bloomington,accepted
40_NC_157,Kalamazoo College,accepted
40_NC_157,Saint Louis University,accepted
40_NC_157,Illinois College,accepted
40_NC_157,Stevenson University,accepted
40_NC_157,"University of Nevada, Las Vegas",accepted
40_NC_157,Central Connecticut State University,accepted
40_NC_157,Williams College,denied
40_NC_158,University of Central Florida,accepted
40_NC_158,Indiana University Bloomington,accepted
40_NC_158,Texas Christian University,accepted
40_NC_158,Kalamazoo College,accepted
40_NC_158,Saint Louis University,accepted
40_NC_158,Illinois College,accepted
40_NC_158,Stevenson University,accepted
40_NC_158,"University of Nevada, Las Vegas",accepted
40_NC_158,Central Connecticut State University,accepted
40_NC_158,Williams College,denied
40_NC_159,Texas Christian University,pending
40_NC_159,University of Central Florida,accepted
40_NC_159,Indiana University Bloomington,pending
40_NC_159,Kalamazoo College,accepted
40_NC_159,Saint Louis University,accepted
40_NC_159,Illinois College,accepted
40_NC_159,Stevenson University,accepted
40_NC_159,"University of Nevada, Las Vegas",pending
40_NC_159,Central Connecticut State University,accepted
40_NC_159,Williams College,denied
40_NY_160,Texas Christian University,accepted
40_NY_160,University of Central Florida,accepted
40_NY_160,Indiana University Bloomington,accepted
40_NY_160,Kalamazoo College,accepted
40_NY_160,Temple University,accepted
40_NY_160,Vassar College,denied
40_NY_160,Stevenson University,accepted
40_NY_160,"University of Nevada, Las Vegas",accepted
40_NY_160,Central Connecticut State University,accepted
40_NY_160,Williams College,denied
40_NY_161,Texas Christian University,accepted
40_NY_161,University of Central Florida,accepted
40_NY_161,Indiana University Bloomington,accepted
40_NY_161,Kalamazoo College,accepted
40_NY_161,Missouri University of Science and Technology,accepted
40_NY_161,Stevenson University,accepted
40_NY_161,"University of Nevada, Las Vegas",accepted
40_NY_161,Vassar College,denied
40_NY_161,Central Connecticut State University,accepted
40_NY_161,Williams College,denied
40_NY_162,Texas Christian University,accepted
40_NY_162,University of Central Florida,pending
40_NY_162,Indiana University Bloomington,accepted
40_NY_162,Kalamazoo College,accepted
40_NY_162,Saint Louis University,accepted
40_NY_162,Illinois College,accepted
40_NY_162,Stevenson University,accepted
40_NY_162,"University of Nevada, Las Vegas",accepted
40_NY_162,Central Connecticut State University,accepted
40_NY_162,Williams College,denied
40_NY_163,Texas Christian University,accepted
40_NY_163,University of Central Florida,accepted
40_NY_163,Indiana University Bloomington,accepted
40_NY_163,Kalamazoo College,accepted
40_NY_163,Saint Louis University,accepted
40_NY_163,Illinois College,accepted
40_NY_163,Stevenson University,accepted
40_NY_163,"University of Nevada, Las Vegas",accepted
40_NY_163,Central Connecticut State University,accepted
40_NY_163,Williams College,denied
40_NY_164,University of Central Florida,accepted
40_NY_164,Indiana University Bloomington,accepted
40_NY_164,Texas Christian University,accepted
40_NY_164,Kalamazoo College,accepted
40_NY_164,Saint Louis University,accepted
40_NY_164,Illinois College,accepted
40_NY_164,Stevenson University,accepted
40_NY_164,"University of Nevada, Las Vegas",accepted
40_NY_164,Central Connecticut State University,accepted
40_NY_164,Williams College,denied
40_NY_165,University of Central Florida,accepted
40_NY_165,Indiana University Bloomington,accepted
40_NY_165,Texas Christian University,accepted
40_NY_165,Kalamazoo College,accepted
40_NY_165,Saint Louis University,accepted
40_NY_165,Illinois College,pending
40_NY_165,Stevenson University,accepted
40_NY_165,"University of Nevada, Las Vegas",accepted
40_NY_165,Central Connecticut State University,accepted
40_NY_165,Williams College,denied
40_NY_166,University of Central Florida,pending
40_NY_166,Indiana University Bloomington,accepted
40_NY_166,Texas Christian University,accepted
40_NY_166,Kalamazoo College,accepted
40_NY_166,Saint Louis University,accepted
40_NY_166,Illinois College,accepted
40_NY_166,Stevenson University,accepted
40_NY_166,"University of Nevada, Las Vegas",accepted
40_NY_166,Central Connecticut State University,accepted
40_NY_166,Williams College,pending
40_NY_167,Texas Christian University,accepted
40_NY_167,University of Central Florida,accepted
40_NY_167,Indiana University Bloomington,accepted
40_NY_167,Kalamazoo College,accepted
40_NY_167,Saint Louis University,accepted
40_NY_167,Illinois College,accepted
40_NY_167,Stevenson University,accepted
40_NY_167,"University of Nevada, Las Vegas",accepted
40_NY_167,Central Connecticut State University,pending
40_NY_167,Williams College,denied
40_NY_168,Kalamazoo College,accepted
40_NY_168,University of Central Florida,accepted
40_NY_168,Indiana University Bloomington,accepted
40_NY_168,Texas Christian University,accepted
40_NY_168,Saint Louis University,pending
40_NY_168,Illinois College,accepted
40_NY_168,Stevenson University,accepted
40_NY_168,Williams College,denied
40_NY_168,"University of Nevada, Las Vegas",accepted
40_NY_168,Central Connecticut State University,accepted
40_NY_169,University of Central Florida,accepted
40_NY_169,Indiana University Bloomington,accepted
40_NY_169,Texas Christian University,accepted
40_NY_169,Kalamazoo College,accepted
40_NY_169,Saint Louis University,pending
40_NY_169,Illinois College,accepted
40_NY_169,Stevenson University,accepted
40_NY_169,"University of Nevada, Las Vegas",accepted
40_NY_169,Central Connecticut State University,accepted
40_NY_169,Williams College,denied
40_NY_170,Texas Christian University,accepted
40_NY_170,University of Central Florida,accepted
40_NY_170,Indiana University Bloomington,pending
40_NY_170,Kalamazoo College,pending
40_NY_170,Saint Louis University,accepted
40_NY_170,Illinois College,accepted
40_NY_170,Stevenson University,accepted
40_NY_170,"University of Nevada, Las Vegas",pending
40_NY_170,Central Connecticut State University,accepted
40_NY_170,Williams College,denied
40_NY_171,Texas Christian University,accepted
40_NY_171,University of Central Florida,accepted
40_NY_171,Indiana University Bloomington,accepted
40_NY_171,Kalamazoo College,accepted
40_NY_171,Saint Louis University,accepted
40_NY_171,Illinois College,accepted
40_NY_171,Stevenson University,accepted
40_NY_171,"University of Nevada, Las Vegas",accepted
40_NY_171,Central Connecticut State University,accepted
40_NY_171,Williams College,pending
40_NY_172,University of Delaware,accepted
40_NY_172,Transylvania University,accepted
40_NY_172,Drake University,accepted
40_NY_172,Temple University,pending
40_NY_172,Mercer University,accepted
40_NY_172,"University of Nevada, Las Vegas",pending
40_NY_172,Central Connecticut State University,accepted
40_NY_172,Colgate University,denied
40_NY_172,Vassar College,denied
40_NY_172,"California State University, Monterey Bay",accepted
40_NY_173,Texas Christian University,accepted
40_NY_173,University of Central Florida,accepted
40_NY_173,Indiana University Bloomington,pending
40_NY_173,Kalamazoo College,accepted
40_NY_173,Saint Louis University,pending
40_NY_173,Illinois College,pending
40_NY_173,Stevenson University,accepted
40_NY_173,"University of Nevada, Las Vegas",accepted
40_NY_173,Central Connecticut State University,pending
40_NY_173,Williams College,denied
40_NY_174,University of Central Florida,pending
40_NY_174,Indiana University Bloomington,accepted
40_NY_174,Texas Christian University,accepted
40_NY_174,Kalamazoo College,accepted
40_NY_174,Saint Louis University,accepted
40_NY_174,Illinois College,pending
40_NY_174,Stevenson University,accepted
40_NY_174,"University of Nevada, Las Vegas",accepted
40_NY_174,Central Connecticut State University,accepted
40_NY_174,Williams College,denied
40_NY_175,Texas Christian University,accepted
40_NY_175,University of Central Florida,accepted
40_NY_175,Indiana University Bloomington,accepted
40_NY_175,Kalamazoo College,accepted
40_NY_175,Saint Louis University,accepted
40_NY_175,Illinois College,accepted
40_NY_175,Stevenson University,accepted
40_NY_175,"University of Nevada, Las Vegas",accepted
40_NY_175,Central Connecticut State University,accepted
40_NY_175,Williams College,denied
40_NY_176,Texas Christian University,accepted
40_NY_176,University of Central Florida,accepted
40_NY_176,Indiana University Bloomington,accepted
40_NY_176,Kalamazoo College,accepted
40_NY_176,Saint Louis University,accepted
40_NY_176,Illinois College,accepted
40_NY_176,Stevenson University,accepted
40_NY_176,"University of Nevada, Las Vegas",accepted
40_NY_176,Central Connecticut State University,accepted
40_NY_176,Williams College,denied
40_NY_177,Texas Christian University,accepted
40_NY_177,University of Central Florida,accepted
40_NY_177,Indiana University Bloomington,accepted
40_NY_177,Kalamazoo College,accepted
40_NY_177,Saint Louis University,accepted
40_NY_177,Illinois College,accepted
40_NY_177,Stevenson University,accepted
40_NY_177,"University of Nevada, Las Vegas",accepted
40_NY_177,Central Connecticut State University,accepted
40_NY_177,Williams College,denied
40_NY_178,Texas Christian University,accepted
40_NY_178,University of Central Florida,accepted
40_NY_178,Indiana University Bloomington,accepted
40_NY_178,Kalamazoo College,accepted
40_NY_178,Temple University,accepted
40_NY_178,Vassar College,denied
40_NY_178,Stevenson University,accepted
40_NY_178,"University of Nevada, Las Vegas",accepted
40_NY_178,Central Connecticut State University,accepted
40_NY_178,Williams College,denied
40_NY_179,University of Central Florida,pending
40_NY_179,Indiana University Bloomington,accepted
40_NY_179,Texas Christian University,accepted
40_NY_179,Kalamazoo College,accepted
40_NY_179,Saint Louis University,accepted
40_NY_179,Illinois College,accepted
40_NY_179,Stevenson University,accepted
40_NY_179,"University of Nevada, Las Vegas",accepted
40_NY_179,Central Connecticut State University,accepted
40_NY_179,Williams College,denied
40_NY_180,University of Central Florida,accepted
40_NY_180,Indiana University Bloomington,accepted
40_NY_180,Texas Christian University,accepted
40_NY_180,Kalamazoo College,accepted
40_NY_180,Saint Louis University,accepted
40_NY_180,Illinois College,accepted
40_NY_180,Stevenson University,pending
40_NY_180,"University of Nevada, Las Vegas",accepted
40_NY_180,Central Connecticut State University,accepted
40_NY_180,Williams College,denied
40_NY_181,University of Central Florida,accepted
40_NY_181,Indiana University Bloomington,accepted
40_NY_181,Texas Christian University,accepted
40_NY_181,Kalamazoo College,accepted
40_NY_181,Saint Louis University,accepted
40_NY_181,Illinois College,accepted
40_NY_181,Stevenson University,accepted
40_NY_181,"University of Nevada, Las Vegas",accepted
40_NY_181,Central Connecticut State University,accepted
40_NY_181,Williams College,denied
40_NY_182,Texas Christian University,accepted
40_NY_182,University of Central Florida,accepted
40_NY_182,Indiana University Bloomington,accepted
40_NY_182,Kalamazoo College,accepted
40_NY_182,Temple University,accepted
40_NY_182,Vassar College,denied
40_NY_182,Stevenson University,accepted
40_NY_182,"University of Nevada, Las Vegas",accepted
40_NY_182,Central Connecticut State University,accepted
40_NY_182,Williams College,denied
40_NY_183,Temple University,accepted
40_NY_183,Transylvania University,accepted
40_NY_183,University of Delaware,accepted
40_NY_183,Missouri University of Science and Technology,accepted
40_NY_183,Drake University,accepted
40_NY_183,"University of Nevada, Las Vegas",pending
40_NY_183,Central Connecticut State University,accepted
40_NY_183,Colgate University,denied
40_NY_183,Vassar College,denied
40_NY_183,"California State University, Monterey Bay",accepted
40_NY_184,University of Central Florida,accepted
40_NY_184,Indiana University Bloomington,accepted
40_NY_184,Texas Christian University,accepted
40_NY_184,Kalamazoo College,accepted
40_NY_184,Saint Louis University,accepted
40_NY_184,Illinois College,accepted
40_NY_184,Stevenson University,accepted
40_NY_184,"University of Nevada, Las Vegas",accepted
40_NY_184,Central Connecticut State University,accepted
40_NY_184,Williams College,denied
40_NY_185,Texas Christian University,accepted
40_NY_185,University of Central Florida,pending
40_NY_185,Indiana University Bloomington,accepted
40_NY_185,Kalamazoo College,accepted
40_NY_185,Saint Louis University,accepted
40_NY_185,Illinois College,accepted
40_NY_185,Stevenson University,accepted
40_NY_185,"University of Nevada, Las Vegas",accepted
40_NY_185,Central Connecticut State University,accepted
40_NY_185,Williams College,denied
40_NY_186,University of Central Florida,accepted
40_NY_186,Indiana University Bloomington,accepted
40_NY_186,Texas Christian University,accepted
40_NY_186,Kalamazoo College,accepted
40_NY_186,Saint Louis University,accepted
40_NY_186,Illinois College,accepted
40_NY_186,Stevenson University,accepted
40_NY_186,"University of Nevada, Las Vegas",accepted
40_NY_186,Central Connecticut State University,accepted
40_NY_186,Williams College,denied
40_NY_187,Texas Christian University,accepted
40_NY_187,University of Central Florida,accepted
40_NY_187,Indiana University Bloomington,accepted
40_NY_187,Kalamazoo College,pending
40_NY_187,Saint Louis University,accepted
40_NY_187,Illinois College,accepted
40_NY_187,Stevenson University,accepted
40_NY_187,"University of Nevada, Las Vegas",accepted
40_NY_187,Central Connecticut State University,accepted
40_NY_187,Williams College,denied
40_NY_188,Texas Christian University,accepted
40_NY_188,University of Central Florida,accepted
40_NY_188,Indiana University Bloomington,accepted
40_NY_188,Kalamazoo College,accepted
40_NY_188,Temple University,accepted
40_NY_188,Vassar College,denied
40_NY_188,Stevenson University,accepted
40_NY_188,"University of Nevada, Las Vegas",accepted
40_NY_188,Central Connecticut State University,accepted
40_NY_188,Williams College,denied
40_NY_189,Texas Christian University,accepted
40_NY_189,University of Central Florida,accepted
40_NY_189,Indiana University Bloomington,accepted
40_NY_189,Kalamazoo College,accepted
40_NY_189,Saint Louis University,pending
40_NY_189,Illinois College,accepted
40_NY_189,Stevenson University,pending
40_NY_189,"University of Nevada, Las Vegas",accepted
40_NY_189,Central Connecticut State University,accepted
40_NY_189,Williams College,denied
40_NY_190,Texas Christian University,accepted
40_NY_190,University of Central Florida,accepted
40_NY_190,Indiana University Bloomington,accepted
40_NY_190,Kalamazoo College,pending
40_NY_190,Temple University,accepted
40_NY_190,Vassar College,denied
40_NY_190,Stevenson University,accepted
40_NY_190,"University of Nevada, Las Vegas",accepted
40_NY_190,Central Connecticut State University,accepted
40_NY_190,Williams College,denied
40_NY_191,Texas Christian University,accepted
40_NY_191,University of Central Florida,pending
40_NY_191,Indiana University Bloomington,accepted
40_NY_191,Kalamazoo College,accepted
40_NY_191,Missouri University of Science and Technology,accepted
40_NY_191,Stevenson University,accepted
40_NY_191,"University of Nevada, Las Vegas",accepted
40_NY_191,Vassar College,denied
40_NY_191,Central Connecticut State University,accepted
40_NY_191,Williams College,denied
40_NY_192,Texas Christian University,accepted
40_NY_192,University of Central Florida,accepted
40_NY_192,Indiana University Bloomington,accepted
40_NY_192,Kalamazoo College,accepted
40_NY_192,Missouri University of Science and Technology,accepted
40_NY_192,Stevenson University,accepted
40_NY_192,"University of Nevada, Las Vegas",accepted
40_NY_192,Vassar College,denied
